Joueur,Équipe,Moy_PTS,STD_PTS,Moy_REB,STD_REB,Moy_AST,STD_AST,Moy_3PM,STD_3PM,5.5 pts,6.5 pts,7.5 pts,8.5 pts,9.5 pts,10.5 pts,11.5 pts,12.5 pts,13.5 pts,14.5 pts,15.5 pts,16.5 pts,17.5 pts,18.5 pts,19.5 pts,20.5 pts,21.5 pts,22.5 pts,23.5 pts,24.5 pts,25.5 pts,26.5 pts,27.5 pts,28.5 pts,29.5 pts,30.5 pts,31.5 pts,32.5 pts,33.5 pts,34.5 pts,1.5 reb,2.5 reb,3.5 reb,4.5 reb,5.5 reb,6.5 reb,7.5 reb,8.5 reb,9.5 reb,10.5 reb,11.5 reb,12.5 reb,13.5 reb,14.5 reb,15.5 reb,16.5 reb,17.5 reb,18.5 reb,19.5 reb,20.5 reb,1.5 ast,2.5 ast,3.5 ast,4.5 ast,5.5 ast,6.5 ast,7.5 ast,8.5 ast,9.5 ast,10.5 ast,11.5 ast,12.5 ast,13.5 ast,14.5 ast,15.5 ast,16.5 ast,17.5 ast,18.5 ast,19.5 ast,20.5 ast,0.5 3pm,1.5 3pm,2.5 3pm,3.5 3pm,4.5 3pm,5.5 3pm,6.5 3pm,7.5 3pm,8.5 3pm,9.5 3pm,10.5 3pm
Precious Achiuwa,NYK,6.2,4.83,4.4,2.73,0.4,0.49,0.0,0.0,3/5,2/5,2/5,2/5,2/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,3/5,2/5,2/5,2/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
Steven Adams,HOU,7.8,3.37,8.2,3.43,0.6,0.8,0.0,0.0,4/5,3/5,2/5,1/5,1/5,1/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,5/5,4/5,4/5,4/5,4/5,2/5,2/5,2/5,2/5,2/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
Bam Adebayo,MIA,24.4,5.31,8.6,2.87,5.2,0.4,2.2,0.4,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/5,4/5,4/5,4/5,4/5,3/5,3/5,3/5,3/5,3/5,2/5,2/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,5/5,5/5,5/5,5/5,4/5,4/5,2/5,2/5,2/5,2/5,2/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,5/5,5/5,5/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,5/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
Ochai Agbaji,TOR,9.4,4.32,5.0,2.1,2.2,0.75,1.4,1.02,4/5,4/5,4/5,4/5,2/5,2/5,2/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,5/5,3/5,2/5,2/5,2/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,4/5,2/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,4/5,2/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
Santi Aldama,MEM,13.0,5.4,6.4,1.36,2.2,0.98,2.0,1.67,5/5,5/5,5/5,4/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,5/5,5/5,5/5,3/5,2/5,2/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,4/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,3/5,3/5,3/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
Trey Alexander,DEN,2.4,2.73,0.4,0.8,0.8,0.75,0.2,0.4,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
Nickeil Alexander-Walker,MIN,13.0,6.84,3.8,2.23,5.0,1.67,2.0,1.67,5/5,5/5,4/5,3/5,3/5,3/5,2/5,2/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,3/5,2/5,1/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,5/5,4/5,3/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,4/5,3/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5
Grayson Allen,PHX,8.6,7.55,1.6,1.36,1.4,1.02,1.8,2.14,3/5,3/5,2/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,2/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,2/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,4/5,1/5,1/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5
Jarrett Allen,CLE,17.4,9.73,8.6,4.36,1.2,1.47,0.0,0.0,4/5,4/5,4/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,2/5,2/5,2/5,2/5,1/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,5/5,5/5,3/5,3/5,3/5,3/5,2/5,2/5,2/5,2/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,2/5,2/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
Jose Alvarado,NOP,15.0,6.6,3.4,1.02,5.8,2.23,1.6,2.24,5/5,5/5,5/5,5/5,4/5,3/5,3/5,2/5,2/5,2/5,2/5,2/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,4/5,2/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,5/5,5/5,5/5,3/5,2/5,1/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,3/5,1/5,1/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5
