Joueur,Match,Type,Ligne,Cote,Bookmaker
Miles Bridges,Chicago Bulls @ Charlotte Hornets,ASSISTS,4.5,2.28,BetOnline.ag
Coby White,Chicago Bulls @ Charlotte Hornets,ASSISTS,4.5,2.12,BetOnline.ag
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,ASSISTS,2.5,1.61,BetOnline.ag
Mark Williams,Chicago Bulls @ Charlotte Hornets,ASSISTS,2.5,1.89,BetOnline.ag
Nick Smith Jr,Chicago Bulls @ Charlotte Hornets,ASSISTS,2.5,1.64,BetOnline.ag
Josh Giddey,Chicago Bulls @ Charlotte Hornets,ASSISTS,9.5,2.0,BetOnline.ag
Kevin Huerter,Chicago Bulls @ Charlotte Hornets,ASSISTS,3.5,2.22,BetOnline.ag
Seth Curry,Chicago Bulls @ Charlotte Hornets,ASSISTS,2.5,2.26,BetOnline.ag
Miles Bridges,Chicago Bulls @ Charlotte Hornets,POINTS,21.5,1.93,BetOnline.ag
Coby White,Chicago Bulls @ Charlotte Hornets,POINTS,23.5,1.85,BetOnline.ag
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,POINTS,18.5,1.9,BetOnline.ag
Mark Williams,Chicago Bulls @ Charlotte Hornets,POINTS,15.5,1.77,BetOnline.ag
Josh Giddey,Chicago Bulls @ Charlotte Hornets,POINTS,19.5,1.93,BetOnline.ag
Nick Smith Jr,Chicago Bulls @ Charlotte Hornets,POINTS,12.5,1.92,BetOnline.ag
Kevin Huerter,Chicago Bulls @ Charlotte Hornets,POINTS,11.5,1.84,BetOnline.ag
Matas Buzelis,Chicago Bulls @ Charlotte Hornets,POINTS,12.5,1.88,BetOnline.ag
Seth Curry,Chicago Bulls @ Charlotte Hornets,POINTS,10.5,1.98,BetOnline.ag
Coby White,Chicago Bulls @ Charlotte Hornets,REBOUNDS,3.5,1.76,BetOnline.ag
Miles Bridges,Chicago Bulls @ Charlotte Hornets,REBOUNDS,5.5,1.75,BetOnline.ag
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,REBOUNDS,9.5,1.79,BetOnline.ag
