Joueur,Match,Type,Ligne,Cote,Bookmaker,Joueur_clean,Poste,Équipe,Équipe adverse,Équipe adverse nom complet,Classement Déf,Moyenne,Écart-type,Fréquence 5 matchs,Proba ajustée,Value ajustée
Evan Mobley,Sacramento Kings @ Cleveland Cavaliers,ASSISTS,3.5,2.03,Pinnacle,evan mobley,PF,CLE,SAC,Sacramento Kings,16.0,4.2,0.4,1.0,1.0,1.0299999999999998
Gabe Vincent,Los Angeles Lakers @ Oklahoma City Thunder,REBOUNDS,1.5,2.3,BetOnline.ag,gabe vincent,PG,LAL,OKC,Oklahoma City Thunder,25.0,2.2,1.33,0.8,0.8800000000000001,1.024
Harrison Barnes,San Antonio Spurs @ Portland Trail Blazers,THREES,2.5,2.48,Pinnacle,harrison barnes,PF,SAS,POR,Portland Trail Blazers,18.0,3.0,1.1,0.8,0.8,0.984
Harrison Barnes,San Antonio Spurs @ Portland Trail Blazers,THREES,2.5,2.46,BetOnline.ag,harrison barnes,PF,SAS,POR,Portland Trail Blazers,18.0,3.0,1.1,0.8,0.8,0.968
Luguentz Dort,Los Angeles Lakers @ Oklahoma City Thunder,THREES,2.5,2.42,Pinnacle,luguentz dort,SF,OKC,LAL,Los Angeles Lakers,12.0,3.2,1.94,0.8,0.8,0.9359999999999999
Luguentz Dort,Los Angeles Lakers @ Oklahoma City Thunder,THREES,2.5,2.41,BetOnline.ag,luguentz dort,SF,OKC,LAL,Los Angeles Lakers,12.0,3.2,1.94,0.8,0.8,0.9280000000000002
Derrick White,Washington Wizards @ Boston Celtics,ASSISTS,5.5,1.86,Pinnacle,derrick white,SG,BOS,WAS,Washington Wizards,14.0,7.2,1.47,1.0,1.0,0.8600000000000001
Derrick White,Washington Wizards @ Boston Celtics,ASSISTS,5.5,1.84,BetOnline.ag,derrick white,SG,BOS,WAS,Washington Wizards,14.0,7.2,1.47,1.0,1.0,0.8400000000000001
OG Anunoby,Phoenix Suns @ New York Knicks,POINTS,18.5,1.83,Pinnacle,og anunoby,SF,NYK,PHX,Phoenix Suns,13.0,26.6,2.87,1.0,1.0,0.8300000000000001
Christian Braun,Indiana Pacers @ Denver Nuggets,POINTS,13.5,1.82,Pinnacle,christian braun,SG,DEN,IND,Indiana Pacers,12.0,17.4,1.2,1.0,1.0,0.8200000000000001
Jamal Murray,Indiana Pacers @ Denver Nuggets,REBOUNDS,3.5,1.81,BetOnline.ag,jamal murray,PG,DEN,IND,Indiana Pacers,16.0,4.6,0.8,1.0,1.0,0.81
Evan Mobley,Sacramento Kings @ Cleveland Cavaliers,THREES,1.5,2.51,Pinnacle,evan mobley,PF,CLE,SAC,Sacramento Kings,26.0,2.0,1.41,0.6,0.72,0.8071999999999997
